Batch_ID,Blaine_cm2g,Gypsum_SO3_pct,WC_Ratio,Strength_3d_MPa,Strength_7d_MPa,Strength_28d_MPa
BATCH_0001,3493.0,2.58,0.459,29.63,53.41,74.44
BATCH_0002,3652.2,2.21,0.44,34.01,56.93,74.92
BATCH_0003,3548.2,2.61,0.435,36.16,54.8,71.22
BATCH_0004,3621.8,2.71,0.483,30.44,55.0,75.13
BATCH_0005,3535.8,2.69,0.518,30.14,48.36,71.46
BATCH_0006,3551.9,2.89,0.479,32.34,55.97,72.67
BATCH_0007,3762.3,2.43,0.496,28.02,53.07,71.76
BATCH_0008,3730.5,2.89,0.488,34.05,53.76,72.97
BATCH_0009,3706.1,3.08,0.454,34.3,54.43,74.16
BATCH_0010,3544.1,3.01,0.494,31.1,51.42,68.11
BATCH_0011,3360.2,3.21,0.507,31.05,53.0,70.32
BATCH_0012,4178.7,2.24,0.501,26.52,53.54,78.92
BATCH_0013,3488.9,2.3,0.457,38.49,57.02,74.41
BATCH_0014,3368.3,2.78,0.383,35.0,57.8,74.57
BATCH_0015,3125.7,3.18,0.462,34.94,55.39,73.01
BATCH_0016,3392.8,2.63,0.502,35.05,54.5,71.32
BATCH_0017,3532.2,2.62,0.537,29.74,47.82,68.38
BATCH_0018,3703.2,2.63,0.455,36.1,58.39,75.92
BATCH_0019,3917.8,3.03,0.495,32.27,52.08,71.41
BATCH_0020,4147.5,2.56,0.455,36.83,56.57,77.55
BATCH_0021,3685.2,2.77,0.488,31.35,49.8,71.21
BATCH_0022,3683.1,2.58,0.527,32.99,55.6,71.38
BATCH_0023,3650.0,2.15,0.465,37.46,58.74,75.72
BATCH_0024,3584.3,3.09,0.45,32.96,53.79,72.22
BATCH_0025,3463.2,2.43,0.551,30.18,50.06,63.96
BATCH_0026,4021.8,3.06,0.48,36.54,57.06,74.14
BATCH_0027,3485.5,2.61,0.469,29.48,51.74,71.79
BATCH_0028,3182.6,2.96,0.46,34.77,53.3,68.01
BATCH_0029,3876.6,3.03,0.458,40.16,56.34,75.55
BATCH_0030,3672.4,3.42,0.506,35.65,58.54,72.98
BATCH_0031,3641.3,2.97,0.454,36.88,59.08,77.85
BATCH_0032,3532.5,2.51,0.467,35.22,57.45,72.76
BATCH_0033,3549.3,2.81,0.533,32.88,53.9,72.05
BATCH_0034,3347.0,2.3,0.505,32.55,52.11,69.72
BATCH_0035,3400.2,2.75,0.48,33.27,53.42,72.73
BATCH_0036,3911.5,2.18,0.47,36.16,56.09,74.86
BATCH_0037,3512.3,2.73,0.504,32.14,54.7,72.37
BATCH_0038,3210.8,2.98,0.442,34.46,51.5,76.83
BATCH_0039,4101.4,3.02,0.466,37.87,61.41,80.07
BATCH_0040,3356.0,3.12,0.452,38.3,56.57,73.55
BATCH_0041,3210.5,2.68,0.495,35.83,54.41,74.61
BATCH_0042,3582.5,2.3,0.493,33.0,54.36,69.43
BATCH_0043,3703.1,2.22,0.46,36.27,57.8,74.98
BATCH_0044,3263.9,2.52,0.45,30.38,53.75,73.51
BATCH_0045,3738.8,2.61,0.465,32.92,55.11,72.9
BATCH_0046,3764.6,3.4,0.475,32.18,53.46,73.32
BATCH_0047,3660.0,2.89,0.508,34.34,55.85,74.47
BATCH_0048,3647.8,2.81,0.439,35.95,58.98,81.54
BATCH_0049,3147.5,3.09,0.466,34.38,55.43,71.06
BATCH_0050,3279.9,3.06,0.5,34.79,58.72,71.36
BATCH_0051,3776.9,3.02,0.494,37.82,57.02,76.65
BATCH_0052,3488.5,2.23,0.466,29.87,52.46,75.02
BATCH_0053,3532.7,2.77,0.475,34.75,57.73,73.86
BATCH_0054,3929.3,2.86,0.542,30.83,56.25,72.55
BATCH_0055,3872.8,2.77,0.508,33.37,50.56,69.42
BATCH_0056,3443.6,2.92,0.495,30.33,51.18,69.4
BATCH_0057,3801.8,2.43,0.513,33.4,52.84,71.9
BATCH_0058,3695.5,2.93,0.511,35.67,55.13,71.59
BATCH_0059,3074.8,3.68,0.454,34.12,52.44,71.75
BATCH_0060,3876.4,3.16,0.499,28.39,55.85,71.79
BATCH_0061,3922.4,2.72,0.484,33.88,54.27,70.76
BATCH_0062,3252.6,2.31,0.511,36.5,55.91,71.26
BATCH_0063,3978.6,3.03,0.462,33.6,57.84,76.96
BATCH_0064,3630.6,2.96,0.481,36.68,57.05,74.61
BATCH_0065,4155.7,2.43,0.496,37.88,60.14,79.65
BATCH_0066,3742.2,3.29,0.469,32.56,53.36,70.53
BATCH_0067,3773.7,3.38,0.472,37.85,57.46,74.28
BATCH_0068,3903.3,2.84,0.55,36.76,57.24,73.04
BATCH_0069,3809.1,2.81,0.488,34.34,55.46,75.09
BATCH_0070,3607.0,2.8,0.513,33.81,54.27,73.23
BATCH_0071,3670.8,2.56,0.496,32.56,54.63,75.42
BATCH_0072,3837.4,2.35,0.403,34.1,54.65,77.03
BATCH_0073,3351.5,2.79,0.421,39.14,55.96,75.34
BATCH_0074,4139.3,2.62,0.502,32.73,57.53,78.26
BATCH_0075,3770.1,3.15,0.466,33.07,56.11,73.39
BATCH_0076,3614.3,2.88,0.526,36.81,58.82,77.8
BATCH_0077,3264.9,3.07,0.489,35.03,56.43,70.54
BATCH_0078,3677.2,3.31,0.487,36.52,56.3,70.93
BATCH_0079,3780.0,3.23,0.465,34.26,58.68,80.19
BATCH_0080,3245.4,2.27,0.434,33.15,53.0,77.56
BATCH_0081,3837.0,3.0,0.397,37.49,57.82,75.6
BATCH_0082,4071.1,3.26,0.465,34.21,57.76,73.04
BATCH_0083,3825.0,3.03,0.491,35.19,58.2,74.06
BATCH_0084,2993.9,3.07,0.502,33.07,53.88,71.5
BATCH_0085,3493.3,2.64,0.499,32.68,55.29,75.48
BATCH_0086,3754.8,3.42,0.481,34.44,57.04,78.38
BATCH_0087,3584.7,2.58,0.483,32.46,51.79,71.79
BATCH_0088,3721.2,2.55,0.461,34.68,55.87,75.3
BATCH_0089,3887.2,3.23,0.444,35.08,57.93,76.6
BATCH_0090,3069.5,2.62,0.519,30.94,50.04,67.57
BATCH_0091,3693.1,2.56,0.516,31.6,53.05,71.69
BATCH_0092,3702.5,2.73,0.5,39.02,58.09,74.19
BATCH_0093,3822.2,2.64,0.5,31.94,55.33,72.69
BATCH_0094,3617.5,3.15,0.452,35.77,58.27,75.62
BATCH_0095,3346.4,3.03,0.451,30.59,54.14,70.96
BATCH_0096,3248.4,2.78,0.435,34.27,55.69,71.93
BATCH_0097,3595.4,3.12,0.468,35.26,55.03,71.29
BATCH_0098,3547.2,2.5,0.476,35.21,56.62,74.24
BATCH_0099,4269.5,2.65,0.421,39.95,63.93,85.15
BATCH_0100,3798.4,2.28,0.519,28.68,55.57,76.11
BATCH_0101,3192.8,3.18,0.537,31.59,51.96,66.04
BATCH_0102,3893.3,2.91,0.477,35.57,54.0,72.17
BATCH_0103,3840.4,2.25,0.475,34.98,56.49,77.93
BATCH_0104,3677.0,2.68,0.488,33.37,57.77,75.85
BATCH_0105,4279.0,2.72,0.516,37.53,59.91,79.57
BATCH_0106,3406.8,2.92,0.451,32.48,54.72,75.34
BATCH_0107,3394.9,2.79,0.431,30.13,54.43,73.29
BATCH_0108,3533.9,2.2,0.499,28.1,51.33,70.19
