Batch_ID,Raw_CaO,Raw_SiO2,Raw_Al2O3,Raw_Fe2O3,Raw_MgO,Raw_SO3,LOI,Clinker_CaO,Clinker_SiO2,Clinker_Al2O3,Clinker_Fe2O3,LSF,SM,AM,Kiln_Temp_C,Feed_Rate_tph,Fan_Speed_rpm,Sec_Air_Temp_C,Fineness_90um_pct,Free_CaO_pct,C3S_pct,C2S_pct,C3A_pct,C4AF_pct,Blaine_cm2g,Gypsum_SO3_pct,WC_Ratio,Strength_3d_MPa,Strength_7d_MPa,Strength_28d_MPa
BATCH_0001,42.2,13.99,3.28,2.3,1.28,0.35,35.25,65.17,21.61,5.07,3.56,0.9459,2.5048,1.4264,1400.0,166.1,969.4,958.0,13.72,0.59,58.01,18.19,7.42,10.82,3493.0,2.58,0.459,29.63,53.41,74.44
BATCH_0002,42.71,13.87,2.85,2.18,1.28,0.37,35.53,66.25,21.51,4.43,3.37,0.9781,2.7569,1.3124,1398.9,207.8,1099.3,877.7,13.73,1.162,65.29,12.41,6.03,10.27,3652.2,2.21,0.44,34.01,56.93,74.92
BATCH_0003,42.29,12.85,3.43,1.99,1.13,0.31,34.68,64.74,19.67,5.25,3.05,1.0217,2.3689,1.7226,1380.4,182.0,1129.1,955.5,13.84,1.46,67.1,5.78,8.76,9.28,3548.2,2.61,0.435,36.16,54.8,71.22
BATCH_0004,43.93,14.61,3.18,2.3,1.47,0.34,35.15,67.74,22.53,4.9,3.55,0.9503,2.6672,1.3815,1432.6,203.1,1098.2,982.6,8.57,0.717,62.13,17.74,6.99,10.8,3621.8,2.71,0.483,30.44,55.0,75.13
BATCH_0005,42.49,14.25,3.14,2.01,1.5,0.52,35.32,65.69,22.03,4.85,3.11,0.945,2.7657,1.5568,1429.0,184.7,1168.6,927.0,12.04,0.793,57.51,19.77,7.58,9.48,3535.8,2.69,0.518,30.14,48.36,71.46
BATCH_0006,42.89,13.32,3.15,2.18,1.78,0.42,34.94,65.93,20.47,4.84,3.35,1.0094,2.4977,1.4452,1429.0,178.9,1004.1,918.9,12.59,1.254,68.54,6.99,7.17,10.2,3551.9,2.89,0.479,32.34,55.97,72.67
BATCH_0007,42.48,14.63,3.62,2.38,1.22,0.41,34.98,65.33,22.5,5.57,3.66,0.9066,2.4384,1.5226,1402.7,193.8,1185.3,954.9,12.51,0.908,46.81,29.19,8.57,11.13,3762.3,2.43,0.496,28.02,53.07,71.76
BATCH_0008,42.5,13.61,3.44,1.85,1.45,0.53,34.78,65.15,20.86,5.28,2.84,0.9783,2.5683,1.8578,1363.7,182.8,1113.0,951.3,10.64,0.861,61.32,13.55,9.18,8.65,3730.5,2.89,0.488,34.05,53.76,72.97
BATCH_0009,43.4,14.31,3.25,1.86,1.61,0.53,34.82,66.59,21.95,4.99,2.85,0.9608,2.8006,1.7518,1445.7,165.7,1062.4,874.8,13.65,0.772,61.19,16.78,8.4,8.67,3706.1,3.08,0.454,34.3,54.43,74.16
BATCH_0010,43.13,14.0,3.28,2.27,1.4,0.55,34.99,66.34,21.54,5.05,3.48,0.9665,2.5241,1.4492,1410.7,220.8,1131.3,885.7,10.89,1.212,60.13,16.4,7.49,10.6,3544.1,3.01,0.494,31.1,51.42,68.11
