Batch_ID,Clinker_CaO,Clinker_SiO2,Clinker_Al2O3,Clinker_Fe2O3,LSF,SM,AM,Free_CaO_pct,C3S_pct,C2S_pct,C3A_pct,C4AF_pct
BATCH_0001,65.17,21.61,5.07,3.56,0.9459,2.5048,1.4264,0.59,58.01,18.19,7.42,10.82
BATCH_0002,66.25,21.51,4.43,3.37,0.9781,2.7569,1.3124,1.162,65.29,12.41,6.03,10.27
BATCH_0003,64.74,19.67,5.25,3.05,1.0217,2.3689,1.7226,1.46,67.1,5.78,8.76,9.28
BATCH_0004,67.74,22.53,4.9,3.55,0.9503,2.6672,1.3815,0.717,62.13,17.74,6.99,10.8
BATCH_0005,65.69,22.03,4.85,3.11,0.945,2.7657,1.5568,0.793,57.51,19.77,7.58,9.48
BATCH_0006,65.93,20.47,4.84,3.35,1.0094,2.4977,1.4452,1.254,68.54,6.99,7.17,10.2
BATCH_0007,65.33,22.5,5.57,3.66,0.9066,2.4384,1.5226,0.908,46.81,29.19,8.57,11.13
BATCH_0008,65.15,20.86,5.28,2.84,0.9783,2.5683,1.8578,0.861,61.32,13.55,9.18,8.65
BATCH_0009,66.59,21.95,4.99,2.85,0.9608,2.8006,1.7518,0.772,61.19,16.78,8.4,8.67
BATCH_0010,66.34,21.54,5.05,3.48,0.9665,2.5241,1.4492,1.212,60.13,16.4,7.49,10.6
BATCH_0011,66.41,21.15,5.35,3.32,0.9796,2.4391,1.6111,0.941,62.52,13.47,8.56,10.1
BATCH_0012,68.57,25.3,5.29,3.65,0.8617,2.8274,1.4487,0.854,40.5,41.99,7.85,11.12
BATCH_0013,68.36,21.27,5.16,2.83,1.0116,2.6632,1.823,0.819,72.09,6.6,8.88,8.61
BATCH_0014,68.91,21.6,4.34,3.51,1.0135,2.7507,1.2357,1.371,74.34,5.86,5.56,10.69
BATCH_0015,68.91,22.56,4.89,3.1,0.9701,2.8237,1.5753,0.964,65.14,15.52,7.7,9.44
BATCH_0016,67.13,20.74,4.85,3.09,1.0186,2.6127,1.5677,0.985,72.52,5.0,7.61,9.41
BATCH_0017,65.78,22.39,5.66,3.11,0.9201,2.5532,1.8219,0.956,49.41,26.91,9.74,9.46
BATCH_0018,68.23,22.01,5.22,3.43,0.9728,2.5432,1.5219,0.56,66.81,12.72,8.04,10.44
BATCH_0019,66.87,21.92,5.43,3.07,0.9571,2.5804,1.7692,1.349,57.0,19.84,9.19,9.33
BATCH_0020,68.07,21.65,5.06,3.05,0.9909,2.6683,1.66,0.854,68.65,10.29,8.26,9.28
BATCH_0021,64.48,21.79,5.24,3.57,0.9262,2.4742,1.4696,0.424,52.42,22.92,7.85,10.85
BATCH_0022,66.52,21.29,4.72,3.42,0.9854,2.6142,1.3778,0.925,66.93,10.54,6.71,10.42
BATCH_0023,68.52,21.58,4.49,3.18,1.0092,2.8137,1.4143,1.067,73.66,6.31,6.53,9.67
BATCH_0024,65.51,21.65,5.21,3.29,0.9494,2.5453,1.5836,0.904,57.04,19.03,8.24,10.02
BATCH_0025,64.33,21.01,4.94,2.52,0.9691,2.8155,1.9576,0.884,60.09,14.9,8.82,7.68
BATCH_0026,68.31,21.85,6.44,3.63,0.9583,2.1693,1.7744,0.907,58.47,18.54,10.93,11.05
BATCH_0027,66.54,22.93,4.79,3.06,0.925,2.9207,1.5682,1.184,54.04,24.97,7.53,9.3
BATCH_0028,67.88,20.88,5.15,3.28,1.0165,2.4765,1.57,1.324,71.59,5.85,8.1,9.98
BATCH_0029,66.35,21.12,4.25,3.5,0.9977,2.722,1.2138,0.3,72.95,5.5,5.34,10.66
BATCH_0030,68.41,21.11,5.07,3.25,1.0162,2.5379,1.5593,0.815,74.08,5.0,7.93,9.89
BATCH_0031,65.91,19.28,5.44,2.99,1.0551,2.2879,1.8203,1.199,74.28,5.0,9.36,9.09
BATCH_0032,67.3,21.65,4.75,3.0,0.9858,2.7941,1.5866,0.828,68.48,10.41,7.53,9.12
BATCH_0033,69.38,22.49,4.23,3.37,0.988,2.96,1.257,1.381,71.15,10.8,5.52,10.24
BATCH_0034,68.86,22.41,5.64,3.06,0.9631,2.5736,1.841,0.863,62.56,17.04,9.77,9.32
BATCH_0035,65.36,21.31,4.47,3.23,0.9736,2.766,1.3827,0.59,65.88,11.4,6.38,9.84
BATCH_0036,67.78,21.43,4.73,3.11,1.0012,2.7326,1.5211,0.927,71.53,7.47,7.27,9.46
BATCH_0037,66.77,21.43,5.21,3.03,0.9788,2.6003,1.7197,0.785,64.66,12.65,8.68,9.22
BATCH_0038,65.26,21.9,5.22,3.15,0.9373,2.6162,1.6574,0.3,57.24,19.6,8.5,9.58
BATCH_0039,67.9,21.23,4.77,3.65,1.0052,2.5201,1.3082,0.884,72.12,6.47,6.48,11.11
BATCH_0040,64.74,20.31,4.69,3.28,1.0017,2.5465,1.431,0.451,69.68,5.66,6.89,9.98
BATCH_0041,68.32,20.13,4.99,3.07,1.0617,2.4946,1.625,1.45,79.08,5.0,8.04,9.35
BATCH_0042,66.15,21.22,4.94,3.46,0.9784,2.5272,1.4287,1.024,64.5,12.2,7.24,10.52
BATCH_0043,68.48,21.47,5.56,3.27,0.9936,2.4316,1.6981,1.251,66.29,11.55,9.19,9.96
BATCH_0044,67.33,22.47,4.74,3.71,0.9483,2.6608,1.2783,0.966,60.69,18.63,6.28,11.28
BATCH_0045,65.25,21.95,4.87,2.99,0.9423,2.7943,1.6282,0.573,58.02,19.16,7.84,9.1
BATCH_0046,66.35,22.01,4.74,3.48,0.9535,2.6769,1.3628,0.792,61.65,16.59,6.68,10.59
BATCH_0047,66.26,21.54,5.32,2.95,0.9659,2.6047,1.8055,0.474,62.79,14.38,9.11,8.97
BATCH_0048,69.19,22.72,5.66,3.49,0.9519,2.4813,1.6211,0.577,61.74,18.56,9.1,10.63
BATCH_0049,67.94,21.21,5.26,3.3,1.0016,2.4784,1.5934,0.924,70.47,7.63,8.35,10.04
BATCH_0050,68.16,21.02,4.63,3.78,1.019,2.4975,1.225,0.75,77.3,5.0,5.88,11.51
BATCH_0051,68.01,21.14,4.62,3.04,1.0198,2.7612,1.5191,0.722,76.29,5.0,7.09,9.25
BATCH_0052,66.29,21.74,4.85,3.65,0.9599,2.558,1.3287,0.58,61.96,15.59,6.68,11.11
BATCH_0053,67.91,21.97,4.98,3.1,0.9769,2.7203,1.6078,0.3,68.74,11.14,7.96,9.43
BATCH_0054,66.57,22.06,5.65,3.56,0.9396,2.3953,1.5842,0.678,56.1,20.92,8.93,10.84
