Batch_ID,Kiln_Temp_C,Feed_Rate_tph,Fan_Speed_rpm,Sec_Air_Temp_C,Fineness_90um_pct
BATCH_0001,1400.0,166.1,969.4,958.0,13.72
BATCH_0002,1398.9,207.8,1099.3,877.7,13.73
BATCH_0003,1380.4,182.0,1129.1,955.5,13.84
BATCH_0004,1432.6,203.1,1098.2,982.6,8.57
BATCH_0005,1429.0,184.7,1168.6,927.0,12.04
BATCH_0006,1429.0,178.9,1004.1,918.9,12.59
BATCH_0007,1402.7,193.8,1185.3,954.9,12.51
BATCH_0008,1363.7,182.8,1113.0,951.3,10.64
BATCH_0009,1445.7,165.7,1062.4,874.8,13.65
BATCH_0010,1410.7,220.8,1131.3,885.7,10.89
BATCH_0011,1428.1,167.9,1152.9,922.1,13.81
BATCH_0012,1409.0,191.4,1061.4,910.5,11.77
BATCH_0013,1467.7,192.4,1100.8,937.7,14.07
BATCH_0014,1366.8,172.7,1163.3,891.7,13.17
BATCH_0015,1434.2,193.6,1089.9,922.4,13.47
BATCH_0016,1432.5,169.6,1145.0,932.3,13.72
BATCH_0017,1420.4,194.0,1073.8,958.0,12.14
BATCH_0018,1422.7,169.8,1148.8,914.1,11.26
BATCH_0019,1348.7,203.6,1084.9,919.8,11.48
BATCH_0020,1470.8,194.4,1207.7,889.3,13.81
BATCH_0021,1444.5,178.0,1096.3,908.7,12.94
BATCH_0022,1424.2,187.7,1135.6,875.0,10.2
BATCH_0023,1404.8,174.9,1013.5,977.8,13.83
BATCH_0024,1374.3,190.0,1118.3,882.4,11.73
BATCH_0025,1438.0,198.1,1142.6,895.2,11.4
BATCH_0026,1363.8,183.1,1062.2,863.1,11.53
BATCH_0027,1353.0,194.1,1101.4,925.1,11.96
BATCH_0028,1399.8,191.3,1125.0,880.9,12.65
BATCH_0029,1517.4,155.8,1092.6,903.7,11.6
BATCH_0030,1431.8,173.8,1075.6,902.7,13.09
BATCH_0031,1411.6,192.3,1144.6,923.8,11.17
BATCH_0032,1422.5,172.8,1123.9,933.3,14.06
BATCH_0033,1426.0,192.5,1055.5,827.0,12.77
BATCH_0034,1422.0,196.4,1015.4,981.2,12.26
BATCH_0035,1448.2,177.6,1154.0,846.2,10.97
BATCH_0036,1395.1,181.6,1087.3,980.2,8.52
BATCH_0037,1395.3,169.1,1104.9,914.8,13.25
BATCH_0038,1452.3,177.2,1073.9,962.0,11.44
BATCH_0039,1398.2,173.7,1035.6,924.0,10.06
BATCH_0040,1426.5,168.7,1069.4,863.7,11.12
BATCH_0041,1407.7,183.6,1109.0,906.6,15.46
BATCH_0042,1433.3,189.2,1128.0,963.2,13.75
BATCH_0043,1370.8,187.5,1047.9,971.1,12.11
BATCH_0044,1404.4,201.8,1179.0,899.1,11.87
BATCH_0045,1460.8,204.3,1021.5,923.0,11.72
BATCH_0046,1474.2,206.9,1069.4,904.5,12.93
BATCH_0047,1462.2,185.1,1166.2,874.7,10.04
BATCH_0048,1462.2,167.7,1118.4,904.3,12.54
BATCH_0049,1426.1,186.1,1090.7,903.8,11.96
BATCH_0050,1435.4,172.5,1048.9,948.3,12.87
BATCH_0051,1453.3,174.9,1125.3,918.8,12.9
BATCH_0052,1418.6,158.5,1106.4,892.8,13.76
BATCH_0053,1504.1,179.7,1126.2,991.3,11.19
BATCH_0054,1444.4,185.9,1144.8,945.4,14.07
BATCH_0055,1387.3,191.3,1043.6,942.6,11.75
BATCH_0056,1414.0,193.3,1132.6,856.9,14.71
BATCH_0057,1341.8,183.5,1042.2,932.8,13.06
BATCH_0058,1472.5,192.8,1082.6,906.0,12.02
BATCH_0059,1399.4,180.1,1107.0,938.1,12.3
BATCH_0060,1425.3,185.5,1220.2,917.7,12.8
BATCH_0061,1361.0,166.0,1152.3,942.8,13.58
BATCH_0062,1395.9,213.8,1149.1,907.0,8.75
BATCH_0063,1389.5,165.2,1148.5,895.3,9.63
BATCH_0064,1419.3,188.3,1111.2,974.6,12.69
BATCH_0065,1448.1,171.6,1191.0,886.9,12.86
BATCH_0066,1416.9,218.7,1059.8,985.6,15.02
BATCH_0067,1456.1,181.6,1123.1,1004.7,10.74
BATCH_0068,1394.3,198.5,1154.6,944.4,10.86
BATCH_0069,1423.1,190.6,1057.6,856.0,15.73
BATCH_0070,1396.6,194.9,1091.3,889.8,13.3
BATCH_0071,1437.8,180.8,1009.9,894.1,8.17
BATCH_0072,1406.4,182.6,1108.0,920.1,13.16
BATCH_0073,1406.3,179.8,1143.2,888.1,12.66
BATCH_0074,1396.6,195.6,1069.7,993.0,13.52
BATCH_0075,1428.3,173.2,1059.9,972.0,11.03
BATCH_0076,1466.5,188.3,1122.8,1006.6,11.53
BATCH_0077,1440.3,182.2,1075.8,906.7,12.82
BATCH_0078,1434.0,170.2,1073.6,943.5,14.36
BATCH_0079,1449.0,166.1,1164.4,903.1,12.89
BATCH_0080,1445.3,174.4,1186.3,904.0,12.84
BATCH_0081,1398.1,192.4,1099.6,972.5,14.17
BATCH_0082,1462.7,188.7,1088.7,881.6,11.94
BATCH_0083,1381.1,179.2,1110.3,904.9,8.19
BATCH_0084,1452.0,168.0,1174.6,909.2,12.47
BATCH_0085,1373.3,216.2,1104.0,933.9,11.29
BATCH_0086,1382.5,136.2,1121.8,956.2,8.96
BATCH_0087,1369.4,181.4,1082.0,940.5,12.98
BATCH_0088,1485.6,196.2,1077.6,971.2,12.6
BATCH_0089,1426.7,183.6,1126.1,920.2,12.9
BATCH_0090,1425.9,199.8,1049.7,965.6,14.48
BATCH_0091,1366.9,198.7,1094.8,969.0,12.56
BATCH_0092,1438.0,182.7,1117.5,939.6,13.45
BATCH_0093,1412.2,186.3,1078.2,950.0,12.79
BATCH_0094,1383.1,164.0,1147.5,988.4,12.34
BATCH_0095,1451.0,183.5,1205.3,875.5,14.33
BATCH_0096,1394.0,160.2,1069.4,918.5,11.86
BATCH_0097,1392.7,177.1,1055.7,930.7,12.66
BATCH_0098,1476.4,193.5,1086.6,884.4,9.27
BATCH_0099,1433.4,189.5,1102.9,890.2,9.95
BATCH_0100,1468.7,176.2,1114.4,930.4,12.3
BATCH_0101,1370.6,198.2,1092.5,891.4,14.17
BATCH_0102,1410.9,204.0,1128.0,908.2,13.55
BATCH_0103,1382.8,166.9,1036.9,885.4,12.59
BATCH_0104,1512.6,157.5,1112.7,938.7,14.13
BATCH_0105,1369.3,167.4,1132.0,891.0,12.86
BATCH_0106,1443.0,182.9,1099.1,904.5,14.19
BATCH_0107,1444.4,197.7,1129.2,938.0,11.35
BATCH_0108,1363.7,168.6,1061.5,882.4,13.74
BATCH_0109,1397.3,182.8,1044.7,951.3,13.77
BATCH_0110,1420.0,179.9,1083.6,926.2,13.74
BATCH_0111,1474.9,160.1,1126.1,887.3,12.79
BATCH_0112,1402.2,177.8,1077.3,978.1,12.99
BATCH_0113,1474.2,168.6,1109.6,914.1,11.18
BATCH_0114,1378.7,196.7,1135.8,948.7,13.16
BATCH_0115,1406.1,177.3,1062.8,888.1,15.01
BATCH_0116,1437.4,197.1,1179.0,879.4,11.28
BATCH_0117,1401.5,183.4,1142.1,895.3,15.78
BATCH_0118,1434.9,180.3,1067.9,939.5,15.21
BATCH_0119,1436.4,190.7,1092.3,885.1,12.47
BATCH_0120,1377.6,191.0,1100.7,881.8,11.89
BATCH_0121,1434.3,160.1,1072.5,879.0,11.95
BATCH_0122,1432.2,172.7,1066.2,921.4,10.87
BATCH_0123,1399.1,183.4,1190.1,935.3,13.22
BATCH_0124,1408.8,206.9,1111.5,939.9,13.5
BATCH_0125,1395.1,201.7,1097.0,938.2,13.66
BATCH_0126,1457.1,189.3,1134.2,865.4,14.32
BATCH_0127,1483.5,170.1,1078.4,913.5,13.31
BATCH_0128,1411.9,166.1,1144.5,961.4,9.73
BATCH_0129,1472.5,198.7,1159.5,960.5,10.14
BATCH_0130,1459.4,175.0,1128.2,879.2,12.46
BATCH_0131,1432.6,188.5,1065.1,885.2,15.06
BATCH_0132,1457.6,215.5,1060.7,864.8,12.96
BATCH_0133,1447.8,179.8,1112.6,905.0,15.12
BATCH_0134,1372.7,160.2,1124.1,941.9,13.32
BATCH_0135,1406.4,203.9,1044.8,934.4,11.02
BATCH_0136,1455.7,211.3,1020.7,844.8,15.31
BATCH_0137,1403.5,160.7,1093.4,927.1,8.47
BATCH_0138,1458.4,170.6,1034.0,911.9,11.3
BATCH_0139,1382.3,169.7,1037.3,861.2,12.22
BATCH_0140,1444.7,191.8,1104.2,976.4,13.11
BATCH_0141,1416.8,161.7,1050.6,957.3,11.55
BATCH_0142,1381.8,193.4,1108.6,942.1,10.74
BATCH_0143,1408.4,187.4,1073.1,922.7,10.65
BATCH_0144,1431.7,201.5,1154.1,867.5,13.43
BATCH_0145,1412.8,188.4,1026.5,925.6,14.18
BATCH_0146,1463.1,205.3,1128.1,884.8,15.48
BATCH_0147,1425.3,191.5,1013.0,964.5,11.29
BATCH_0148,1418.8,186.8,1074.2,912.1,12.19
BATCH_0149,1406.6,171.3,1168.5,874.5,11.93
BATCH_0150,1417.2,167.5,1145.8,898.0,12.32
BATCH_0151,1303.6,158.0,1078.8,961.4,12.09
BATCH_0152,1427.6,163.5,1070.6,886.5,11.59
BATCH_0153,1396.1,169.8,1082.0,941.6,12.94
BATCH_0154,1398.8,186.9,962.6,900.0,11.71
BATCH_0155,1365.6,175.5,1112.5,884.3,11.28
BATCH_0156,1394.8,191.2,1090.3,917.4,12.64
BATCH_0157,1381.9,160.8,1094.6,888.0,11.27
BATCH_0158,1386.8,206.2,1146.6,910.5,14.2
BATCH_0159,1377.7,176.4,1106.1,879.7,12.08
BATCH_0160,1422.5,176.8,1052.4,923.1,12.89
BATCH_0161,1344.2,175.1,1157.7,899.3,10.88
BATCH_0162,1402.2,180.5,975.6,893.7,13.18
BATCH_0163,1434.1,186.4,1021.9,975.2,11.8
BATCH_0164,1481.4,180.3,1111.3,947.7,10.6
BATCH_0165,1442.9,172.9,1217.5,813.4,13.51
BATCH_0166,1394.5,185.4,1035.3,942.9,13.18
BATCH_0167,1399.2,178.4,1104.2,899.2,11.96
BATCH_0168,1449.6,148.1,1095.0,895.9,13.15
BATCH_0169,1443.6,144.4,1112.6,872.6,13.41
BATCH_0170,1384.9,168.7,1026.7,899.9,13.96
BATCH_0171,1410.2,152.6,1034.3,990.7,9.75
BATCH_0172,1461.4,162.3,1183.4,980.9,13.6
BATCH_0173,1412.7,188.0,1084.2,919.1,12.22
BATCH_0174,1414.0,191.6,1122.1,890.7,12.84
BATCH_0175,1351.0,190.6,1062.0,931.5,14.8
BATCH_0176,1365.3,202.6,1083.5,911.5,11.56
BATCH_0177,1480.6,190.5,1151.8,952.8,12.5
BATCH_0178,1365.8,183.9,1155.2,939.0,12.5
BATCH_0179,1406.9,177.7,1138.3,960.4,14.34
BATCH_0180,1379.6,154.7,1010.3,865.8,11.44
BATCH_0181,1390.6,190.1,1104.0,892.8,13.99
BATCH_0182,1437.7,202.3,1213.6,903.8,13.24
BATCH_0183,1375.7,202.9,1106.6,896.4,12.15
BATCH_0184,1499.5,193.3,1128.7,868.9,10.57
BATCH_0185,1430.0,142.5,981.2,906.5,12.2
BATCH_0186,1416.8,178.8,1102.6,877.6,11.42
BATCH_0187,1441.7,195.6,1029.8,1025.8,11.15
BATCH_0188,1435.2,187.1,1060.2,937.0,14.42
BATCH_0189,1509.9,159.6,1030.2,933.5,14.31
BATCH_0190,1355.6,179.5,1132.0,924.9,12.33
BATCH_0191,1425.1,192.4,1071.4,888.4,11.56
BATCH_0192,1457.4,189.1,1215.2,860.8,14.39
BATCH_0193,1391.8,154.6,1128.0,927.5,14.01
BATCH_0194,1390.8,191.5,1022.9,894.7,13.39
BATCH_0195,1454.7,171.2,1081.1,948.7,11.65
BATCH_0196,1445.6,188.9,1092.9,933.5,14.04
BATCH_0197,1423.2,207.1,1057.0,1011.8,13.07
BATCH_0198,1387.9,167.4,1093.0,932.3,11.71
BATCH_0199,1365.6,206.2,1170.0,904.7,13.27
BATCH_0200,1395.0,187.8,1116.1,926.7,11.01
BATCH_0201,1459.8,180.4,1089.4,980.2,12.48
BATCH_0202,1355.9,161.6,996.2,916.6,12.27
BATCH_0203,1474.9,181.0,1068.0,884.4,11.22
BATCH_0204,1375.7,153.1,1080.9,915.1,11.9
BATCH_0205,1370.9,199.8,1114.9,876.6,11.84
BATCH_0206,1465.4,163.4,1081.7,913.9,10.41
BATCH_0207,1474.1,216.2,1076.5,902.8,12.13
BATCH_0208,1417.8,188.0,990.2,913.5,12.71
BATCH_0209,1415.6,171.5,1072.3,997.6,11.39
BATCH_0210,1484.9,183.4,1082.7,855.5,12.11
BATCH_0211,1362.4,202.6,1158.2,916.5,13.78
BATCH_0212,1459.1,182.8,1063.4,995.6,12.57
BATCH_0213,1459.1,202.6,1087.5,1020.1,9.41
BATCH_0214,1347.3,175.2,1182.2,934.4,11.2
BATCH_0215,1461.2,176.8,1074.0,856.8,12.41
BATCH_0216,1391.7,194.4,1125.8,911.1,12.47
BATCH_0217,1424.3,190.6,1111.0,879.6,11.75
