Batch_ID,Raw_CaO,Raw_SiO2,Raw_Al2O3,Raw_Fe2O3,Raw_MgO,Raw_SO3,LOI
BATCH_0001,42.2,13.99,3.28,2.3,1.28,0.35,35.25
BATCH_0002,42.71,13.87,2.85,2.18,1.28,0.37,35.53
BATCH_0003,42.29,12.85,3.43,1.99,1.13,0.31,34.68
BATCH_0004,43.93,14.61,3.18,2.3,1.47,0.34,35.15
BATCH_0005,42.49,14.25,3.14,2.01,1.5,0.52,35.32
BATCH_0006,42.89,13.32,3.15,2.18,1.78,0.42,34.94
BATCH_0007,42.48,14.63,3.62,2.38,1.22,0.41,34.98
BATCH_0008,42.5,13.61,3.44,1.85,1.45,0.53,34.78
BATCH_0009,43.4,14.31,3.25,1.86,1.61,0.53,34.82
BATCH_0010,43.13,14.0,3.28,2.27,1.4,0.55,34.99
BATCH_0011,42.37,13.49,3.41,2.12,1.53,0.58,36.2
BATCH_0012,43.66,16.11,3.37,2.33,1.59,0.47,36.33
BATCH_0013,44.6,13.88,3.36,1.85,1.88,0.58,34.75
BATCH_0014,44.79,14.04,2.82,2.28,1.82,0.5,35.0
BATCH_0015,44.59,14.59,3.16,2.01,1.41,0.63,35.3
BATCH_0016,43.45,13.43,3.14,2.0,1.28,0.48,35.27
BATCH_0017,42.6,14.5,3.67,2.01,1.32,0.43,35.24
BATCH_0018,44.24,14.27,3.39,2.23,1.4,0.31,35.16
BATCH_0019,43.7,14.32,3.55,2.0,1.27,0.54,34.65
BATCH_0020,43.4,13.81,3.23,1.95,1.4,0.45,36.24
BATCH_0021,41.48,14.02,3.37,2.29,1.55,0.55,35.67
BATCH_0022,43.2,13.83,3.06,2.22,1.19,0.39,35.05
BATCH_0023,44.12,13.9,2.89,2.05,1.7,0.49,35.6
BATCH_0024,41.67,13.77,3.32,2.09,0.99,0.39,36.4
BATCH_0025,41.91,13.69,3.22,1.64,1.38,0.4,34.85
BATCH_0026,43.72,13.99,4.12,2.32,1.37,0.3,35.99
BATCH_0027,42.8,14.75,3.08,1.97,1.68,0.27,35.67
BATCH_0028,43.24,13.3,3.28,2.09,1.35,0.31,36.29
BATCH_0029,42.79,13.62,2.74,2.26,1.17,0.43,35.52
BATCH_0030,43.53,13.44,3.23,2.07,1.63,0.43,36.36
BATCH_0031,42.59,12.46,3.52,1.93,1.08,0.4,35.38
BATCH_0032,43.36,13.95,3.06,1.93,1.57,0.31,35.57
